timestamp,ip,asn,geo,region,city,port,protocol,hostname,min_amplification,dns_version,p0f_genre,p0f_detail
09/02/2017 03:26,192.168.200.7,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,,,
09/02/2017 02:23,192.167.30.101,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,DNS Server powered by BIND,,
09/02/2017 02:50,192.167.30.103,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,9.10.1,,
09/02/2017 02:15,192.167.70.131,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,Microsoft DNS 6.1.7601 (1DB1446A),,
09/02/2017 02:17,192.167.85.215,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,3.8095,9.8.2rc1-RedHat-9.8.2-0.47.rc1.el6_8.1,,
09/02/2017 03:10,192.167.116.60,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,,,
09/02/2017 03:53,192.167.121.13,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,dnsmasq-2.65,,
09/02/2017 03:12,192.167.130.25,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,9.10.1,,
09/02/2017 02:24,192.167.182.250,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,Microsoft DNS 6.1.7601 (1DB14556),,
09/02/2017 03:37,192.167.254.131,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,dnsmasq-2.59,,
09/02/2017 02:25,192.167.254.148,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,dnsmasq-2.59,,
09/02/2017 03:42,192.168.10.2,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,,,
09/02/2017 02:38,192.168.62.41,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,,,
09/02/2017 03:02,192.168.68.89,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,Microsoft DNS 6.0.6001 (17714650),,
09/02/2017 04:39,192.168.89.229,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,dnsmasq-2.45,,
09/02/2017 04:31,192.168.92.45,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,,,
09/02/2017 02:19,192.168.92.95,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,dnsmasq-2.59,,
09/02/2017 03:11,192.168.99.18,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,,,
09/02/2017 03:21,192.168.101.58,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,dnsmasq-2.65,,
09/02/2017 02:52,192.168.104.69,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,,,
09/02/2017 02:39,192.168.142.248,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,dnsmasq-2.75,,
09/02/2017 02:28,192.168.150.167,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,ZyWALL DNS,,
09/02/2017 03:04,192.168.150.214,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,,,
09/02/2017 02:25,192.168.167.44,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,9.10.1,,
09/02/2017 04:23,192.168.198.215,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,dnsmasq-2.73,,
09/02/2017 03:00,192.168.198.218,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,dnsmasq-2.73,,
09/02/2017 02:26,192.168.198.220,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,dnsmasq-2.73,,
09/02/2017 02:16,192.168.200.28,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,,,
09/02/2017 02:41,192.168.229.21,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,1.381,,,
09/02/2017 02:11,192.168.245.8,278,MX,DISTRITO FEDERAL,MEXICO CITY,53,udp,,4.619,Microsoft DNS 6.0.6001 (17714726),,
