timestamp,ip,protocol,port,hostname,asn,geo,region,city,version,clk_wander,clock,error,frequency,jitter,leap,mintc,noise,offset,peer,phase,poll,precision,processor,refid,reftime,rootdelay,rootdispersion,stability,state,stratum,system,tai,tc,naics,sic,sector
09/02/2017 05:14,192.100.199.18,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xDC46792C.9F2E581A,,2.076,12.163,0,,1.106,-3.022,,,10,-24,unknown,192.167.169.17,0xDC467265.F5212D65,19.096,56.421,0.038,4,2,UNIX,,,0,0,Information Technology
09/02/2017 05:42,192.100.199.25,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC467FCE.62756E49,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:39,192.100.199.45,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC467EFF.4905E808,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC466478.833C7780,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:30,192.100.199.49,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC4660DA.9C5C41F9,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC464C38.9A41D2B9,3,3,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 03:19,192.100.199.56,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xdc465e2f.30e7623e,,4.952,1.392,0,,1.081,-0.432,,,10,-10,unknown,192.167.169.17,0xdc465dcb.889c0702,0.977,19.467,0.036,4,2,UNIX,,,0,0,Information Technology
09/02/2017 05:35,192.100.199.57,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xdc467e1f.9f2f26a2,,4.968,0.977,0,,1.027,-0.054,,,10,-10,unknown,192.167.169.17,0xdc467ddb.c91934d6,0.977,18.257,0.032,4,2,UNIX,,,0,0,Information Technology
09/02/2017 03:53,192.100.199.59,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,,0xdc46664f.6be5edc1,,4.985,0.977,0,,1.057,0.335,,,10,-10,unknown,192.167.169.17,0xdc4665d0.990c51d0,0.977,19.299,0.032,4,2,UNIX,,,0,0,Information Technology
09/02/2017 03:59,192.100.199.61,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC4667B8.3E68B66C,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC465949.0ECF8DE7,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:33,192.100.199.66,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC467DA4.1FB5CB30,,0,0,0,3,,0,,,,-20,unknown,192.167.169.17,0xDC466237.886AC8D9,0,0,,,2,UNIX,,10,0,0,Information Technology
09/02/2017 05:26,192.100.199.70,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC467C0E.354E4574,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC4665B6.66E6D6AB,0,0,,,2,UNIX,,9,0,0,Information Technology
09/02/2017 05:32,192.100.199.74,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,0,0xDC467D57.F85B5958,,0,0,0,3,,0,,,,-21,unknown,192.167.169.17,0xDC466245.285403AD,0,0,,,2,UNIX,,9,0,0,Information Technology
09/02/2017 04:37,192.100.199.101,udp,123,,278,MX,DISTRITO FEDERAL,MEXICO CITY,4,3,0xDC46709D.04D77299,,3,0,0,3,,3,,,,-22,unknown,192.167.169.17,0xDC466D54.B0A30AA2,3,3,,,2,UNIX,,10,0,0,Information Technology
